,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
0,less wealthy,10462,Bakery,11/4/2019,04N,Y,1,11/4/2019,40.84823122,-73.85597189,211,13,25200,2045445,2041270037,BX37
1,less wealthy,11225,Hamburgers,3/4/2019,02G,Y,1,3/4/2019,40.66265152,-73.96208137,309,40,32700,3029737,3011970017,BK60
2,wealthier,10019,Irish,6/6/2019,06C,Y,1,6/6/2019,40.76732571,-73.98431042,104,3,13900,1026048,1010480008,MN15
3,less wealthy,11224,American,11/8/2019,06D,Y,1,11/8/2019,40.57992037,-73.98209025,313,47,34800,3347399,3069970098,BK21
4,less wealthy,11234,Delicatessen,5/3/2019,06C,Y,1,5/3/2019,40.62011159,-73.90698949,318,46,70000,3237693,3084310041,BK45
5,less wealthy,11226,"Ice Cream, Gelato, Yogurt, Ices",5/31/2019,10F,N,1,5/31/2019,40.64079502,-73.94848798,317,45,82800,3112318,3049640001,BK95
6,less wealthy,10460,American,5/22/2019,04L,Y,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
7,wealthier,10065,American,10/1/2019,04H,Y,1,10/1/2019,40.76854691,-73.96958058,108,4,12200,1041159,1013810001,MN40
8,less wealthy,11224,Hotdogs,4/6/2019,10F,N,1,4/6/2019,40.57553687,-73.98165226,313,47,35200,3189660,3070740340,BK21
9,less wealthy,11223,Jewish/Kosher,12/6/2019,06D,Y,1,12/6/2019,40.60618692,-73.96546645,315,44,41800,3177501,3066640028,BK25
10,less wealthy,11218,"Ice Cream, Gelato, Yogurt, Ices",9/16/2019,08A,N,1,9/16/2019,40.64332972,-73.97818872,312,39,49600,3124566,3053350041,BK41
11,less wealthy,11004,"Ice Cream, Gelato, Yogurt, Ices",3/19/2019,10F,N,1,3/19/2019,40.73836796,-73.70351065,413,23,157901,4179545,4087770025,QN44
12,less wealthy,11106,Delicatessen,7/15/2019,06F,Y,1,7/15/2019,40.76457121,-73.93882546,401,26,3900,4003862,4003240031,QN68
13,wealthier,10025,American,5/13/2019,04H,Y,1,5/13/2019,40.79262064,-73.96770962,107,6,18100,1082743,1012260029,MN12
14,less wealthy,11368,Chinese,2/7/2019,02G,Y,1,2/7/2019,40.75330591,-73.86429538,403,21,37900,4043399,4017450030,QN26
15,wealthier,10005,Sandwiches/Salads/Mixed Buffet,1/2/2020,04N,Y,0,1/2/2020,40.70590688,-74.00860938,101,1,700,1001004,1000400003,MN25
16,less wealthy,11203,Caribbean,6/14/2019,06C,Y,1,6/14/2019,40.65198322,-73.92457494,317,41,93800,3103101,3047040001,BK96
17,less wealthy,11201,Donuts,11/18/2019,10F,N,1,11/18/2019,40.69216379,-73.99117243,302,33,900,3397831,3002657502,BK09
18,wealthier,10018,American,5/10/2019,02B,Y,1,5/10/2019,40.75618542,-73.99056473,104,3,11500,1083268,1010320029,MN15
19,wealthier,10174,Sandwiches/Salads/Mixed Buffet,8/3/2018,09A,N,1,8/3/2018,40.75181634,-73.97576011,106,4,9200,1036156,1012970023,MN19
20,wealthier,10314,Delicatessen,12/3/2019,10F,N,1,12/3/2019,40.61026786,-74.14640121,501,50,18901,5000000,5004860001,SI07
21,less wealthy,11379,Bagels/Pretzels,8/22/2019,06A,Y,1,8/22/2019,40.7132078,-73.87410229,405,30,65703,4437624,4030690069,QN21
22,wealthier,10028,Continental,12/3/2019,04L,Y,1,12/3/2019,40.77528111,-73.95657589,108,5,14000,1047523,1015090035,MN40
23,wealthier,10022,American,1/23/2019,10B,N,1,1/23/2019,40.75751173,-73.97582661,105,4,10200,1035455,1012850021,MN17
24,wealthier,10305,"Ice Cream, Gelato, Yogurt, Ices",10/1/2019,10F,N,1,10/1/2019,40.59855313,-74.07964601,502,50,6400,5047319,5032270002,SI14
25,less wealthy,11212,Chinese,1/31/2019,10I,N,1,1/31/2019,40.66214059,-73.92718021,317,41,88200,3099886,3046110006,BK96
26,wealthier,10023,Pizza,1/13/2020,04A,Y,1,1/13/2020,40.77807357,-73.9804011,107,6,15700,1081483,1011430049,MN14
27,less wealthy,11230,Jewish/Kosher,11/27/2019,10F,N,1,11/27/2019,40.62511113,-73.96203434,314,44,53000,3179615,3067070043,BK43
28,wealthier,10306,Bagels/Pretzels,6/4/2019,10F,N,1,6/4/2019,40.57345494,-74.11766376,502,50,13400,5057324,5041990018,SI45
29,wealthier,10308,Delicatessen,2/20/2019,06D,Y,1,2/20/2019,40.55623688,-74.15251526,503,51,14605,5062376,5046130011,SI54
30,less wealthy,11209,Pizza/Italian,12/11/2019,02B,Y,1,12/11/2019,40.61272249,-74.03375177,310,43,5602,3156122,3061370045,BK31
31,less wealthy,11211,Steak,1/29/2019,10F,N,1,1/29/2019,40.70997979999999,-73.96251244,301,34,54900,3335296,3021320021,BK73
32,wealthier,10022,American,5/30/2019,04N,Y,1,5/30/2019,40.76479552,-73.97230783,108,4,11401,1081206,1013750001,MN40
33,less wealthy,10465,American,8/29/2019,10F,N,1,8/29/2019,40.82869746,-73.81428239,210,13,16000,2097560,2054860029,BX52
34,wealthier,10065,Italian,10/23/2018,02I,Y,1,10/23/2018,40.76270774,-73.96574958,108,4,11402,1041931,1013950040,MN40
35,wealthier,10003,American,12/9/2019,06D,Y,1,12/9/2019,40.73759507,-73.98964721,105,2,5200,1016150,1008470034,MN13
36,less wealthy,11222,Polish,6/11/2019,08C,N,1,6/11/2019,40.72262217,-73.94830183,301,33,49900,3338042,3026980020,BK76
37,wealthier,10014,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/25/2019,06D,Y,1,6/25/2019,40.73490838,-74.00297329,102,3,7300,1010824,1006110009,MN23
38,wealthier,10013,American,4/16/2019,09B,N,1,4/16/2019,40.71607657,-74.0014249,101,1,2900,1079000,1001670001,MN27
39,less wealthy,11385,German,7/23/2019,04H,Y,1,7/23/2019,40.70664797,-73.90573574,405,30,58900,4083396,4034850001,QN20
40,wealthier,10019,American,1/7/2020,10F,N,0,1/7/2020,40.76671822,-73.97873659,105,4,13700,1023750,1010110001,MN17
41,wealthier,10009,American,6/19/2019,10F,N,1,6/19/2019,40.72498456,-73.98128265,103,2,3200,1005094,1004020034,MN22
42,wealthier,10019,American,7/12/2019,02G,Y,1,7/12/2019,40.76588694,-73.98089567,105,4,13700,1080846,1010290023,MN17
43,wealthier,10065,Steak,2/13/2019,06D,Y,1,2/13/2019,40.76551288,-73.96576979,108,4,12000,1042358,1013990022,MN40
44,wealthier,10019,French,10/9/2019,04A,Y,0,10/9/2019,40.76313745,-73.98617051,104,3,13300,1025226,1010420125,MN15
45,less wealthy,11201,American,1/24/2019,10B,N,1,1/24/2019,40.69020015,-73.98162420000001,302,33,1500,3000369,3001490060,BK38
46,wealthier,10016,Italian,3/21/2019,10B,N,1,3/21/2019,40.74333279,-73.97833629,106,2,7000,1081628,1009120026,MN20
47,less wealthy,11235,American,4/3/2019,10D,N,1,4/3/2019,40.58784235,-73.95432559999999,315,48,60600,3204915,3074590007,BK17
48,wealthier,10011,American,9/16/2019,06C,Y,1,9/16/2019,40.74137222,-74.00503776,104,3,8300,1013042,1007380080,MN13
49,less wealthy,11414,Pizza/Italian,12/4/2019,10F,N,1,12/4/2019,40.663101700000006,-73.84083793,410,32,88400,4294806,4141480033,QN57
50,less wealthy,11363,American,11/20/2019,10B,N,1,11/20/2019,40.77632972,-73.75283544,411,19,148300,4168135,4080310001,QN45
51,less wealthy,11103,Pizza,8/1/2019,06D,Y,1,8/1/2019,40.76327459,-73.91547783,401,22,14900,4011252,4006800044,QN70
52,less wealthy,10462,American,6/11/2019,05D,Y,1,6/11/2019,40.83061012,-73.84964668,209,18,9200,2026709,2038180011,BX59
53,wealthier,10305,Italian,8/14/2019,06C,Y,1,8/14/2019,40.59281418,-74.07067712,502,50,7000,5107511,5032810010,SI36
54,less wealthy,11223,American,11/19/2019,04L,Y,1,11/19/2019,40.58874604,-73.97395091,315,47,37402,3195028,3071920065,BK26
55,wealthier,10003,Irish,1/3/2020,10H,N,1,1/3/2020,40.728584000000005,-73.98953677,103,2,3800,1006695,1004630050,MN22
56,wealthier,10013,Italian,1/6/2020,02G,Y,1,1/6/2020,40.71701803,-73.99962483,103,1,2900,1083367,1001990007,MN27
57,wealthier,10309,American,6/27/2019,06D,Y,1,6/27/2019,40.50806852,-74.22828215,503,51,24402,5107843,5077340050,SI11
58,wealthier,10014,American,8/20/2019,04L,Y,1,8/20/2019,40.73792485,-74.00386112,102,3,7700,1011036,1006150060,MN23
59,less wealthy,11226,Donuts,7/29/2019,06F,Y,1,7/29/2019,40.6509759,-73.94957925,317,40,81800,3327739,3048690001,BK95
60,wealthier,10028,Irish,12/19/2019,04C,Y,1,12/19/2019,40.77640497,-73.95280207,108,5,13800,1049947,1015460049,MN32
61,wealthier,10022,French,10/29/2019,09C,N,1,10/29/2019,40.75965816,-73.97597744,105,4,10200,1035708,1012880006,MN17
62,wealthier,10017,American,9/12/2019,10F,N,1,9/12/2019,40.75159837,-73.9708949,106,4,9000,1038769,1013370149,MN19
63,less wealthy,11228,Italian,8/27/2019,06B,Y,1,8/27/2019,40.62858286,-74.0167196,310,43,13200,3147565,3059120009,BK30
64,wealthier,10036,American,4/19/2019,06D,Y,1,4/19/2019,40.75449624,-73.98119492,105,4,9600,1034207,1012590025,MN17
65,wealthier,10012,Italian,12/10/2019,04L,Y,1,12/10/2019,40.72723405,-74.00051594,102,1,6500,1008279,1005250064,MN23
66,wealthier,10011,Spanish,12/17/2019,06F,Y,1,12/17/2019,40.7369505,-73.99800452,102,3,7100,1010656,1006090052,MN23
67,less wealthy,10451,American,11/25/2019,02B,Y,0,11/25/2019,40.82755787,-73.92514842,204,8,6300,2002983,2024830045,BX63
68,wealthier,10011,Donuts,7/22/2019,06C,Y,1,7/22/2019,40.73874834,-74.00014434,104,3,8100,1013731,1007640036,MN13
69,less wealthy,11211,American,10/28/2019,10E,N,1,10/28/2019,40.70903995,-73.95915129,301,34,52500,3063567,3024600001,BK73
70,less wealthy,11372,American,3/6/2019,02G,Y,1,3/6/2019,40.74965337,-73.88507357,403,21,28300,4030010,4012920002,QN28
71,less wealthy,11204,Pizza,4/15/2019,06D,Y,1,4/15/2019,40.61995673,-73.98935214,311,38,24800,3133115,3055390055,BK28
72,wealthier,10036,American,6/11/2019,10F,N,1,6/11/2019,40.7601789,-73.98888203,104,3,12100,1025016,1010360044,MN15
73,less wealthy,11224,Italian,9/9/2019,04K,Y,1,9/9/2019,40.57655533,-73.98258432,313,47,34800,3339622,3070640045,BK21
74,wealthier,10019,Italian,4/18/2019,08A,N,1,4/18/2019,40.765618200000006,-73.98239751,105,3,13700,1024883,1010270057,MN17
75,less wealthy,11368,Italian,4/23/2019,09C,N,1,4/23/2019,40.7437251,-73.85623838,404,21,42700,4449610,4019940030,QN25
76,less wealthy,11103,American,11/7/2018,10F,N,1,11/7/2018,40.75700231,-73.9148,401,26,15300,4012527,4007110001,QN70
77,wealthier,10022,American,10/29/2018,10F,N,1,10/29/2018,40.75863939,-73.96374832,106,5,10800,1039996,1013490131,MN19
78,wealthier,10001,Pizza,11/20/2019,08A,N,1,11/20/2019,40.75003195,-73.99504099,104,3,10300,1013536,1007540041,MN13
79,wealthier,10013,Café/Coffee/Tea,8/30/2019,06D,Y,1,8/30/2019,40.71486063,-73.99819997,103,1,2900,1001782,1001630009,MN27
80,wealthier,10013,Chinese,5/23/2019,02G,Y,1,5/23/2019,40.71436383,-73.99878436,103,1,2900,1001821,1001640045,MN27
81,wealthier,10013,American,5/18/2019,10F,N,1,5/18/2019,40.72053946,-74.00501092,101,1,3300,1002726,1002110016,MN24
82,less wealthy,11435,American,4/22/2019,06D,Y,1,4/22/2019,40.70180334,-73.80867561,412,24,24000,4206762,4096760042,QN61
83,less wealthy,11432,Pizza,2/27/2019,08A,N,1,2/27/2019,40.70466771,-73.79682288,412,27,44601,4216196,4101510001,QN61
84,less wealthy,11215,American,9/14/2019,06A,Y,1,9/14/2019,40.67003759,-73.98559148,306,39,13700,3324059,3009980041,BK37
85,wealthier,10302,Pizza/Italian,2/12/2019,02B,Y,1,2/12/2019,40.63002441,-74.14016887,501,49,21300,5107096,5011310001,SI28
86,less wealthy,11229,Italian,1/7/2020,06C,Y,0,1/7/2020,40.60741859,-73.94300363,315,48,56400,3183707,3068130034,BK44
87,less wealthy,11418,American,11/7/2019,06D,Y,1,11/7/2019,40.69410985,-73.82779593,409,29,14400,4196683,4093510039,QN54
88,wealthier,10005,Irish,9/9/2019,04L,Y,1,9/9/2019,40.70533871,-74.00869226,101,1,700,1000834,1000280015,MN25
89,less wealthy,11420,Italian,9/26/2019,08A,N,1,9/26/2019,40.67025824,-73.82097608,410,32,83800,4256605,4118050047,QN55
90,less wealthy,11697,American,8/1/2019,06D,Y,0,8/1/2019,40.56077579,-73.9117834,414,32,91601,4533648,4163500300,QN10
91,less wealthy,11229,American,2/21/2019,04L,Y,1,2/21/2019,40.59896186,-73.95526502,315,48,58000,3198177,3073210045,BK44
92,wealthier,10065,American,5/4/2019,04K,Y,1,5/4/2019,40.76106482,-73.96089527,108,5,10602,1045280,1014560003,MN31
93,less wealthy,11367,Jewish/Kosher,2/11/2019,10E,N,1,2/11/2019,40.73246629999999,-73.82481705,408,24,80900,4141570,4064860039,QN37
94,less wealthy,11235,American,2/27/2019,10B,N,1,2/27/2019,40.58386661,-73.93969006,315,48,60800,3247482,3087930063,BK17
95,wealthier,10014,Seafood,6/19/2019,10F,N,1,6/19/2019,40.7320566,-74.00144328,102,3,6700,1010145,1005900029,MN23
96,less wealthy,10463,American,6/24/2019,06C,Y,1,6/24/2019,40.88520606,-73.90057393,208,11,28300,2094716,2032710189,BX29
97,less wealthy,11375,Irish,4/25/2019,10F,N,1,4/25/2019,40.71953664,-73.8425064,406,29,73700,4078009,4032570024,QN17
98,wealthier,10006,Irish,7/30/2019,10F,N,1,7/30/2019,40.70652394,-74.01384656,101,1,1300,1000803,1000200004,MN25
99,less wealthy,11367,Jewish/Kosher,12/4/2019,06B,Y,1,12/4/2019,40.72718118,-73.82209618,408,24,77902,4143376,4066200032,QN37
100,less wealthy,11201,Pizza/Italian,11/13/2019,10F,N,1,11/13/2019,40.69844393,-73.99254562,302,33,100,3001700,3002260025,BK09
101,wealthier,10016,Tex-Mex,5/9/2019,10B,N,1,5/9/2019,40.74497913,-73.97574095,106,2,7800,1020155,1009150029,MN20
102,wealthier,10310,American,12/10/2019,09B,N,1,12/10/2019,40.62947594,-74.11233734,501,49,10500,5004812,5001680064,SI35
103,wealthier,10022,Chinese,10/8/2019,08A,N,1,10/8/2019,40.75937665,-73.96948371,106,4,10000,1036515,1013100027,MN19
104,less wealthy,11229,"Bottled beverages, including water, sodas, juices, etc.",1/7/2020,06C,Y,0,1/7/2020,40.59427211,-73.93006308,315,46,62800,3250140,3089460024,BK17
105,less wealthy,11427,Italian,11/7/2019,10F,N,0,11/7/2019,40.73070434,-73.74326695,413,23,130100,4166343,4079450002,QN43
106,less wealthy,11373,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/16/2019,10B,N,1,5/16/2019,40.744706799999996,-73.88456967,404,25,26902,4000000,4015080001,QN29
107,wealthier,10304,American,6/5/2019,06C,Y,1,6/5/2019,40.5879359,-74.10407271,502,50,18100,5106953,5008880018,SI24
108,less wealthy,10462,Café/Coffee/Tea,6/6/2019,10I,N,1,6/6/2019,40.83170704,-73.85099931,209,18,9200,2026488,2038110036,BX59
109,less wealthy,11238,Soul Food,8/17/2019,08C,N,1,8/17/2019,40.67885037,-73.96841748,308,35,20500,3028191,3011450004,BK64
110,wealthier,10021,American,2/19/2019,04L,Y,1,2/19/2019,40.76857798,-73.95543946,108,5,12600,1044905,1014480023,MN31
111,less wealthy,11204,Pizza/Italian,11/4/2019,06D,Y,0,11/4/2019,40.61897968,-73.99034286,311,38,25200,3133856,3055530046,BK28
112,wealthier,10010,Mexican,1/16/2020,10H,N,1,1/16/2020,40.73964407,-73.97961494,106,2,6600,1019834,1009060033,MN20
113,less wealthy,10465,American,8/29/2019,06D,Y,1,8/29/2019,40.81453855,-73.81505544,210,13,11800,2097758,2056030014,BX52
114,less wealthy,11234,American,10/7/2019,10F,N,1,10/7/2019,40.61388183,-73.92718624,318,46,67200,3240573,3085100011,BK58
115,wealthier,10001,Irish,5/9/2019,06D,Y,1,5/9/2019,40.75305399,-73.99655669,104,3,10300,1012848,1007310044,MN13
116,less wealthy,11209,American,9/23/2019,06C,Y,1,9/23/2019,40.61274172,-74.03370856,310,43,16200,3156154,3061380011,BK31
117,wealthier,10013,American,4/17/2019,06C,Y,1,4/17/2019,40.72311686,-74.00312428,102,1,4700,1007063,1004750012,MN24
118,less wealthy,11105,Irish,4/19/2019,08A,N,1,4/19/2019,40.77494827,-73.9121196,401,22,11500,4017050,4008330013,QN72
119,less wealthy,11360,Pizza/Italian,3/25/2019,10I,N,1,3/25/2019,40.77828456,-73.77724751,407,19,99704,4439463,4059000002,QN47
120,wealthier,10019,American,11/8/2019,04H,Y,1,11/8/2019,40.76671822,-73.97873659,105,4,13700,1023750,1010110001,MN17
121,wealthier,10019,American,5/15/2019,02G,Y,1,5/15/2019,40.76843198,-73.98534267,104,3,13900,1026889,1010670033,MN15
122,less wealthy,11385,German,9/25/2019,10F,N,1,9/25/2019,40.7018689,-73.88159658,405,30,62900,4090365,4037050001,QN19
123,less wealthy,11385,American,6/10/2019,10F,N,1,6/10/2019,40.70407352,-73.87692559999999,405,30,62300,4090076,4036960001,QN19
124,wealthier,10018,Jewish/Kosher,8/13/2019,08A,N,1,8/13/2019,40.75226286,-73.98745408,105,4,10900,1080609,1008130023,MN17
125,less wealthy,11103,Italian,9/25/2019,04N,Y,1,9/25/2019,40.76467453,-73.91197437,401,22,14300,4012150,4007010006,QN70
126,wealthier,10034,American,1/11/2019,10F,N,1,1/11/2019,40.86756001,-73.92159611,112,10,29500,1064984,1022410024,MN01
127,wealthier,10022,Italian,10/10/2019,10B,N,1,10/10/2019,40.7562169,-73.96752881,106,4,9800,1039779,1013450001,MN19
128,less wealthy,11414,Seafood,5/17/2019,10F,N,1,5/17/2019,40.65555094,-73.83896749,410,32,89200,4442305,4141890084,QN57
129,wealthier,10065,American,6/17/2019,04N,Y,1,6/17/2019,40.76415611,-73.95528359,108,5,11600,1084781,1014800001,MN31
130,wealthier,10023,Hotdogs,2/22/2019,10F,N,1,2/22/2019,40.777997,-73.98209815,107,6,15700,1029904,1011430064,MN14
131,less wealthy,11415,Pizza,8/29/2019,10F,N,1,8/29/2019,40.70886695,-73.83043401,409,29,77500,4079724,4033370092,QN60
132,less wealthy,11226,Hamburgers,6/10/2019,10F,N,1,6/10/2019,40.64872319,-73.95829825,314,40,79400,3117218,3051030001,BK95
133,less wealthy,11416,Hamburgers,5/17/2019,06D,Y,1,5/17/2019,40.67972399,-73.86191833,409,32,4401,4188713,4090760009,QN56
134,wealthier,10023,Italian,2/8/2019,10F,N,1,2/8/2019,40.77151115,-73.98215045,107,6,14900,1027472,1011167501,MN14
135,less wealthy,11223,Pizza/Italian,12/11/2019,08A,N,0,12/11/2019,40.59439352,-73.981359,315,47,40200,3336553,3071160026,BK29
136,less wealthy,11354,Pizza/Italian,10/28/2019,08A,N,1,10/28/2019,40.76965881,-73.83469397,407,20,86900,4100747,4043690001,QN22
137,less wealthy,10470,Irish,10/1/2019,10F,N,1,10/1/2019,40.89797655,-73.86725439,212,11,45101,2019373,2033840005,BX62
138,less wealthy,10460,American,5/22/2019,10F,N,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
139,less wealthy,10460,American,5/22/2019,10F,N,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
140,less wealthy,10460,Café/Coffee/Tea,5/29/2019,10F,N,1,5/29/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
141,less wealthy,10460,American,5/22/2019,10F,N,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
142,less wealthy,10460,American,5/22/2019,02G,Y,1,5/22/2019,40.85055596,-73.88245143,206,15,33400,2116700,2031200020,BX99
143,wealthier,10301,Italian,11/6/2019,10E,N,1,11/6/2019,40.61336685,-74.10045673,501,49,16901,5016581,5006580001,SI07
144,wealthier,10011,American,12/2/2019,10F,N,1,12/2/2019,40.73631373,-74.00094179999999,102,3,7100,1080191,1006060029,MN23
145,less wealthy,11234,Jewish/Kosher,5/8/2019,08A,N,1,5/8/2019,40.61531418,-73.91841052,318,46,68800,3236236,3083800002,BK58
146,wealthier,10017,Seafood,6/19/2019,06D,Y,1,6/19/2019,40.75251382,-73.97730464,105,4,9200,1035381,1012800001,MN19
147,wealthier,10009,American,11/1/2019,06F,Y,1,11/1/2019,40.72599521,-73.9851969,103,2,3200,1005797,1004340037,MN22
148,wealthier,10306,American,9/27/2019,02G,Y,1,9/27/2019,40.58116391,-74.09854329,502,50,11402,5051140,5035600001,SI45
149,wealthier,10036,American,2/21/2019,10B,N,1,2/21/2019,40.755627200000006,-73.98193815,105,4,9600,1034217,1012600001,MN17
150,wealthier,10017,American,6/12/2019,06C,Y,1,6/12/2019,40.75615888,-73.97738641,105,4,9400,1035419,1012830015,MN17
151,wealthier,10028,American,12/19/2019,08C,N,1,12/19/2019,40.77543362,-73.95353209,108,5,13800,1048656,1015280021,MN32
152,wealthier,10036,American,4/23/2019,06C,Y,1,4/23/2019,40.75661292,-73.98433100000001,105,4,11900,1022619,1009960050,MN17
153,less wealthy,11211,Italian,11/12/2019,08C,N,1,11/12/2019,40.71820359,-73.94353622,301,34,49700,3332290,3027350030,BK90
154,wealthier,10013,Italian,10/4/2019,02B,Y,0,10/4/2019,40.71789085,-73.9981061,102,1,4100,1002653,1002060017,MN24
155,less wealthy,11218,American,7/16/2019,10F,N,1,7/16/2019,40.64293186,-73.97886988,312,39,48600,3125226,3053530001,BK41
156,wealthier,10014,"Bottled beverages, including water, sodas, juices, etc.",7/23/2019,04L,Y,1,7/23/2019,40.73313525,-74.00328712,102,3,7300,1010203,1005910060,MN23
157,less wealthy,11228,American,10/24/2019,09B,N,1,10/24/2019,40.62019578,-74.00754646,310,43,20000,3159954,3062210039,BK30
158,wealthier,10011,Spanish,9/10/2019,08C,N,1,9/10/2019,40.74043912,-74.00002526,104,3,8100,1013798,1007660016,MN13
159,wealthier,10012,French,1/23/2019,08A,N,1,1/23/2019,40.72632003,-74.00203485,102,3,4900,1007784,1005030019,MN24
160,wealthier,10022,American,6/28/2019,10F,N,1,6/28/2019,40.75942659,-73.97154121,105,4,10000,1036477,1013090005,MN19
161,less wealthy,11361,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/8/2019,06A,Y,1,5/8/2019,40.76160163,-73.76075972,411,19,147100,4138722,4063240020,QN46
162,wealthier,10022,American,4/30/2019,10F,N,1,4/30/2019,40.76453215,-73.97280973,108,4,11401,1040751,1013740001,MN40
163,wealthier,10017,Japanese,7/29/2019,06C,Y,1,7/29/2019,40.75689169,-73.97717320000001,105,4,9400,1035435,1012840012,MN17
164,less wealthy,11367,Pizza/Italian,7/18/2019,02G,Y,1,7/18/2019,40.72852873,-73.81507497,408,24,122702,4146994,4067930035,QN38
165,wealthier,10065,Greek,5/9/2019,04N,Y,1,5/9/2019,40.76478949,-73.97013102,108,4,11401,1040850,1013760021,MN40
166,wealthier,10017,American,9/30/2019,06D,Y,0,9/30/2019,40.75155446,-73.97092740000001,106,4,9000,1038763,1013370050,MN19
167,less wealthy,10463,American,10/9/2019,04N,Y,1,10/9/2019,40.88602891,-73.90987095,208,11,29700,2084160,2057940501,BX29
168,less wealthy,11213,American,11/8/2019,04L,Y,1,11/8/2019,40.6712044,-73.94264971,308,35,33900,3032442,3012570035,BK61
169,wealthier,10036,French,5/23/2019,10F,N,1,5/23/2019,40.75925368,-73.98669472,105,3,11900,1024729,1010170057,MN17
170,wealthier,10301,American,8/5/2019,06D,Y,1,8/5/2019,40.63100906,-74.10189565,501,49,5900,5169029,5002520009,SI35
171,wealthier,10128,American,2/13/2019,06D,Y,1,2/13/2019,40.78151114,-73.9485773,108,5,15400,1050238,1015540148,MN32
172,less wealthy,11373,Pizza,10/24/2019,06F,Y,1,10/24/2019,40.73492185,-73.88201393,404,25,47900,4065250,4028750008,QN50
173,less wealthy,10464,Seafood,6/18/2019,04H,Y,1,6/18/2019,40.85411693,-73.79057359,210,13,51600,2100408,2056350164,BX10
174,wealthier,10012,Italian,2/26/2019,10F,N,1,2/26/2019,40.73020663,-74.00031751,102,1,6500,1008746,1005430021,MN23
175,wealthier,10036,French,6/27/2019,02G,Y,1,6/27/2019,40.75648387,-73.98397729999999,105,4,11900,1022629,1009970019,MN17
176,less wealthy,11239,Pizza,6/11/2019,10F,N,1,6/11/2019,40.64798374,-73.88192681,305,42,105804,3345673,3044520015,BK93
177,wealthier,10003,American,2/15/2019,06C,Y,1,2/15/2019,40.73196864,-73.99445059,102,2,5900,1009090,1005607501,MN23
178,wealthier,10016,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/3/2019,02G,Y,1,9/3/2019,40.74767405,-73.97376221,106,4,7800,1021932,1009440055,MN20
179,less wealthy,11201,American,6/10/2019,10F,N,1,6/10/2019,40.70295918,-73.99433761,302,33,2100,3335852,3000250001,BK38
180,wealthier,10007,American,3/28/2019,06C,Y,1,3/28/2019,40.71529947,-74.00879097,101,1,2100,1001482,1001360019,MN24
181,less wealthy,10464,Seafood,8/7/2019,08A,N,1,8/7/2019,40.83766442,-73.78289894,210,13,51600,2082394,2056370001,BX10
182,less wealthy,11213,Hamburgers,4/12/2019,06E,Y,1,4/12/2019,40.6634914,-73.93226465,309,41,88000,3251162,3014300034,BK60
183,less wealthy,10467,Hamburgers,5/30/2019,04H,Y,1,5/30/2019,40.86562407,-73.86225393,211,13,34000,2053784,2045140001,BX07
184,less wealthy,11104,Hamburgers,5/9/2019,10F,N,1,5/9/2019,40.74345059,-73.92132771,402,26,18300,4001992,4001680026,QN31
185,less wealthy,11231,Italian,4/20/2019,02B,Y,1,4/20/2019,40.68412467,-74.0020624,306,39,5100,3004269,3003360037,BK33
186,less wealthy,11375,Hamburgers,10/1/2019,06D,Y,1,10/1/2019,40.71980082,-73.84502745,406,29,71100,4077473,4032340185,QN17
187,wealthier,10075,American,12/13/2019,06D,Y,1,12/13/2019,40.77599679,-73.96236681,108,4,14200,1041884,1013930056,MN40
188,wealthier,10013,American,12/20/2019,10F,N,0,12/20/2019,40.72302903,-74.00320004,102,1,4700,1007065,1004750014,MN24
189,less wealthy,11203,Hamburgers,4/22/2019,10F,N,1,4/22/2019,40.656181200000006,-73.93084489,317,41,86800,3100849,3046370035,BK96
190,wealthier,10003,American,5/28/2019,10F,N,1,5/28/2019,40.73635139,-73.98668488,106,2,5000,1080800,1008740023,MN21
191,wealthier,10038,Irish,12/18/2019,04H,Y,1,12/18/2019,40.70764987,-74.00775839,101,1,1502,1001112,1000680011,MN25
192,wealthier,10012,Italian,9/25/2019,04N,Y,1,9/25/2019,40.7285378,-74.00173184,102,3,6500,1008307,1005260034,MN23
193,wealthier,10028,American,10/10/2019,08A,N,1,10/10/2019,40.77974519,-73.95963131,108,4,15001,1046819,1014960017,MN40
194,wealthier,10017,Steak,8/8/2019,10F,N,1,8/8/2019,40.75309731,-73.97209616,106,4,9000,1037596,1013190047,MN19
195,less wealthy,11432,American,5/6/2019,10B,N,1,5/6/2019,40.71527033,-73.80769891,408,24,23000,4145714,4067170104,QN35
